rank,participant,C1,C2,C3,C4,C5,C6,C7,C8,final_score,top10
1,"Преп-Центр",5,5,5,5,5,5,4,5,98,TRUE
2,"Helpberries",5,5,4,4,4,5,5,4,91,TRUE
3,"Родной Дом",5,1,5,5,5,5,4,5,86,TRUE
4,"Нитропак",5,1,5,5,5,4,5,5,86,TRUE
5,"ПроФасовка",5,1,5,4,4,4,3,4,76,TRUE
6,"UpMarket",3,1,4,5,5,5,5,4,76,TRUE
7,"Контракт Фактори",5,1,4,5,4,3,3,4,74,TRUE
8,"logixPRO",5,1,4,2,5,3,5,5,72,TRUE
9,"FullBox",2,1,3,4,5,5,5,4,66,TRUE
10,"E-Fulfillment",2,1,3,3,5,5,5,4,63,TRUE
11,"WBBK",2,1,3,3,5,5,4,4,61,FALSE
12,"Repacking24",1,1,3,5,5,4,3,5,60,FALSE
13,"Easyful",1,1,3,4,4,5,4,5,59,FALSE
14,"Handee",1,1,3,3,4,5,4,4,55,FALSE
15,"9Gramm",1,1,3,4,3,4,3,5,53,FALSE
