source_id,participant,title,url,source_type,published_or_updated,retrieved_at,used_in_scoring,notes
S001,"Преп-Центр","Фулфилмент для бытовой химии","https://prep-center.ru/fulfillment-bytovaya-himiya/","primary_company","2026-08-22","2026-09-18",TRUE,"Категорийная страница, 10 000 ед. за 3 дня"
S002,"Преп-Центр","Главная и реальные примеры поставок","https://prep-center.ru/","primary_company","","2026-09-18",TRUE,"Проект 10 000 ед., 180 000 руб., 3 дня"
S003,"Преп-Центр","Термоусадка и упаковка в ВПП","https://prep-center.ru/termousadka-vpp/","primary_company","2026-08","2026-09-18",TRUE,"ВПП, термоусадка, оборудование"
S004,"Преп-Центр","WMS МПФИТ в Преп-Центре","https://prep-center.ru/wms-mpfit-dlya-fulfillmenta/","primary_company","2026-09","2026-09-18",TRUE,"WMS и складской учет"
S005,"Преп-Центр","FBO-фулфилмент для Ozon и Wildberries","https://prep-center.ru/fulfillment-fbo/","primary_company","2026-08","2026-09-18",TRUE,"Полный цикл FBO"
S006,"Helpberries","B2B-фулфилмент: кейс производителя бытовой химии","https://helpberries.ru/b2b-fulfilment","primary_company","","2026-09-18",TRUE,"Прямой кейс бытовой химии, FBO/FBS, 24 часа, 0,3% ошибок"
S007,"Helpberries","Фулфилмент полного цикла","https://helpberries.ru/","primary_company","","2026-09-18",TRUE,"WMS, приемка, маркетплейсы"
S008,"Helpberries","Кейсы Helpberries","https://helpberries.ru/keysy","primary_company","","2026-09-18",TRUE,"Профильный кейс бытовой химии в каталоге кейсов"
S009,"Родной Дом","Фулфилмент для бытовой химии и автохимии","https://skladff.ru/fulfilment-bytovaya-himiya/","primary_company","","2026-09-18",TRUE,"Протечки, ВПП, термоусадка, FBO/FBS, ограничения"
S010,"Родной Дом","Фулфилмент под ключ","https://skladff.ru/","primary_company","","2026-09-18",TRUE,"Склад, отгрузки, фото/видеофиксация"
S011,"Нитропак","Фулфилмент для бытовых товаров","https://nitropack.ru/fulfillment-bytovye-tovary","primary_company","","2026-09-18",TRUE,"Бытовая химия, защита от протечек, WMS, WB/Ozon"
S012,"Нитропак","Прайс и тарифы","https://nitropack.ru/prices","primary_company","2026-08-07","2026-09-18",TRUE,"Открытые тарифы"
S013,"Нитропак","О компании","https://nitropack.ru/about","primary_company","","2026-09-18",TRUE,"Склад 1000 м2, автоматизация"
S014,"ПроФасовка","Фулфилмент для бытовой химии","https://uslugi-fasovki.ru/fulfilment-dlya-bytovoj-himii","primary_company","","2026-09-18",TRUE,"Прямая бытовая химия, жидкости, порошки, канистры"
S015,"ПроФасовка","Фулфилмент для маркетплейсов","https://uslugi-fasovki.ru/fulfilment-dlya-marketplejsov","primary_company","","2026-09-18",TRUE,"WB/Ozon, приемка, упаковка"
S016,"UpMarket","Фулфилмент для маркетплейсов","https://www.upmarket.cc/","primary_company","","2026-09-18",TRUE,"ВПП, термоусадка, маркировка, доставка"
S017,"UpMarket","О компании","https://www.upmarket.cc/about-us","primary_company","","2026-09-18",TRUE,"1 млн+ ед./мес., клиенты, WMS"
S018,"Контракт Фактори","Фулфилмент для маркетплейсов","https://www.contract-factory.ru/services/fullfilment/","primary_company","","2026-09-18",TRUE,"Бытовая химия, ВПП, термоусадка, маркировка"
S019,"Контракт Фактори","Контрактное производство бытовой химии","https://contract-factory.ru/services/kontraktnoe-proizvodstvo/","primary_company","","2026-09-18",TRUE,"Химическая специализация"
S020,"Контракт Фактори","Доставка и хранение","https://contract-factory.ru/services/dostavka-i-khranenie/","primary_company","","2026-09-18",TRUE,"Хранение химической продукции"
S021,"logixPRO","Ответственное хранение бытовой химии","https://logixpro.ru/otvetstvennoye-khraneniye-bytovoy-khimii/","primary_company","","2026-09-18",TRUE,"Классы опасности, температура, герметичность, WMS Manhattan"
S022,"logixPRO","Фулфилмент для Wildberries","https://logixpro.ru/fulfilment-dlya-wildberries/","primary_company","","2026-09-18",TRUE,"Маркетплейсы, комплектация и отгрузка"
S023,"FullBox","Фулфилмент для селлеров","https://fullbox.ru/","primary_company","","2026-09-18",TRUE,"WMS, Честный знак, FBO/FBS"
S024,"FullBox","Склад и упаковочное оборудование","https://fullbox.ru/sklad/","primary_company","","2026-09-18",TRUE,"Термоусадка и вакуум, 7000 ед./день"
S025,"E-Fulfillment","Фулфилмент для маркетплейсов","https://www.e-fulfillment.ru/","primary_company","","2026-09-18",TRUE,"4600 м2, 7200 паллетомест, FBO/FBS, ЧЗ"
S026,"E-Fulfillment","О компании","https://www.e-fulfillment.ru/about-e-fulfilment","primary_company","","2026-09-18",TRUE,"Собственная система учета RAXS"
S027,"WBBK","Фулфилмент для товаров для дома","https://www.wbbk.club/fulfillment/tovary-dlya-doma","primary_company","","2026-09-18",TRUE,"WMS, Честный знак, FBO/FBS/DBS"
S028,"WBBK","Фулфилмент под ключ","https://wbbk.club/fulfillment/pod-klyuch","primary_company","","2026-09-18",TRUE,"Полный цикл и ответственность"
S029,"Repacking24","Фулфилмент для маркетплейсов","https://repacking24.ru/","primary_company","","2026-09-18",TRUE,"ВПП, термоусадка, Честный знак, открытый прайс"
S030,"Easyful","Фулфилмент","https://easyful.ru/","primary_company","","2026-09-18",TRUE,"FBO/FBS, онлайн-остатки"
S031,"Easyful","Фулфилмент для Ozon","https://easyful.ru/fulfilment-for-ozon","primary_company","","2026-09-18",TRUE,"ВПП, термоусадка, цены"
S032,"Handee","Фулфилмент для маркетплейсов","https://hndee.ru/","primary_company","","2026-09-18",TRUE,"Эталонная единица, 4 этапа проверки, полный цикл"
S033,"9Gramm","Прайс на услуги","https://9gramm.com/price","primary_company","","2026-09-18",TRUE,"ВПП, термоусадка, визуальная проверка"
S034,"9Gramm","Фулфилмент для Wildberries","https://9gramm.com/fulfilment-dlya-wildberries","primary_company","","2026-09-18",TRUE,"Маркетплейсы и поставки"
S035,"Методика","Wildberries: как правильно упаковать разные виды товаров","https://seller.wildberries.ru/instructions/material/A-909","official_marketplace","2026-06-30","2026-09-18",FALSE,"Отдельные правила бытовой химии"
S036,"Методика","Честный знак: сроки и этапы маркировки косметики и бытовой химии","https://markirovka.ru/knowledge/tovarnye-gruppy/kosmetika-bytovaya-himiya/sroki-i-etapy-markirovki-kosmeticheskoy-produktsii-bytovoy-khimii-i-tovarov-lichnoy-gigieny","official_regulation","2026-07-21","2026-09-18",FALSE,"ОСУ и ЭДО с 01.07.2026"
S037,"Исследование","PREP-T009: рейтинг фулфилментов бытовой химии","https://www.sostav.ru/blogs/292167/103584","provenance_external","2026-08-24","2026-09-18",FALSE,"Использован как provenance и market recall"
